Description A,Judge A,Description B,Judge B,Answer,Chapter,Book,Version
Ion transporters and pumps undergo conformational changes for different phases of the transport cycle.,True,Ion transporters and pumps provide continuous pathways for ions without conformational changes.,False,Description A,219,PrincipleNeuralScience,1.0
The expression patterns of some ion channels change during development and in response to changes in neuronal activity patterns.,True,The expression patterns of all ion channels remain constant during development and do not respond to changes in neuronal activity patterns.,False,Description A,219,PrincipleNeuralScience,1.0
Most ion channels are selectively permeable to certain ions.,True,Most ion channels are impermeable to all ions.,False,Description A,219,PrincipleNeuralScience,1.0
Ion channels have gates that open and close in response to different signals.,True,Ion channels have gates that always remain in a fixed position.,False,Description A,219,PrincipleNeuralScience,1.0
CLC exchangers have two gates that control Cl− flux.,True,CLC exchangers have a single gate that control Cl− flux.,False,Description A,219,PrincipleNeuralScience,1.0
"Most exchangers and pumps are thought to have two gates, one external and one internal.",True,Most exchangers and pumps are thought to have only one gate that is alternately open internally and externally.,False,Description A,219,PrincipleNeuralScience,1.0
These features have been conserved with surprising fidelity from prokaryotes through humans.,True,These features have only been conserved in humans.,False,Description A,219,PrincipleNeuralScience,1.0
"CLC channels are built on a structure similar to transporters, but with modified gates.",True,CLC channels are built on a completely different structure than transporters and have no gates.,False,Description A,219,PrincipleNeuralScience,1.0
Most ion channels are composed of multiple subunits.,True,Most ion channels are composed of a single subunit.,False,Description A,219,PrincipleNeuralScience,1.0
Structure-function studies of voltage-gated ion channels have provided insights into K+ channel conduction.,True,Structure-function studies have not provided any meaningful insights into K+ channel conduction.,False,Description A,219,PrincipleNeuralScience,1.0
The driving force for active ion fluxes comes from either the hydrolysis of ATP or favorable electrochemical potential difference.,True,The driving force for active ion fluxes only comes from mechanical stimuli.,False,Description A,219,PrincipleNeuralScience,1.0
Ions cross cell membranes through two main classes of integral membrane proteins—ion channels and ion pumps or transporters.,True,Ions cross cell membranes through one main class of integral membrane proteins—ion channels.,False,Description A,219,PrincipleNeuralScience,1.0
Ion channels allow electrically charged ions to rapidly cross the nonpolar environment of the cell membrane.,True,Ion channels prevent electrically charged ions from crossing the cell membrane.,False,Description A,219,PrincipleNeuralScience,1.0
Transcranial magnetic stimulation (TMS) parameters that activate the motor cortex improve the recovery of locomotion following incomplete spinal cord injury.,True,Transcranial magnetic stimulation (TMS) parameters that activate the motor cortex worsen the recovery of locomotion following incomplete spinal cord injury.,False,Description A,220,PrincipleNeuralScience,1.0
The motor cortex in humans plays a more important role in locomotion than in other mammals.,True,The motor cortex in humans plays a less important role in locomotion than in other mammals.,False,Description A,220,PrincipleNeuralScience,1.0
Spinal circuits can generate a complex locomotor pattern in isolation from descending and rhythmical peripheral afferent inputs.,True,Spinal circuits cannot generate any locomotor pattern without descending and rhythmical peripheral afferent inputs.,False,Description A,220,PrincipleNeuralScience,1.0
The posterior parietal cortex (PPC) is part of a network that contributes to the advanced planning of gait based on visual information.,True,The posterior parietal cortex (PPC) is part of a network that contributes to the advanced planning of gait based on auditory information.,False,Description A,220,PrincipleNeuralScience,1.0
Peripheral afferent inputs modulate the function of spinal locomotor circuits.,True,Peripheral afferent inputs do not modulate the function of spinal locomotor circuits.,False,Description A,220,PrincipleNeuralScience,1.0
"Neurons in the pedunculopontine nucleus can be affected in Parkinson disease, contributing to severe gait disturbances.",True,Neurons in the pedunculopontine nucleus cannot be affected in Parkinson disease and do not contribute to gait disturbances.,False,Description A,220,PrincipleNeuralScience,1.0
Inputs from the cerebellum and the basal ganglia are used to correct motor errors and select appropriate patterns of motor activity.,True,Inputs from the cerebellum and the basal ganglia do not correct motor errors or select patterns of motor activity.,False,Description A,220,PrincipleNeuralScience,1.0
The available evidence suggests that the neural control mechanisms determined from experiments in animals are also used to control locomotion in humans.,True,The available evidence suggests that the neural control mechanisms determined from experiments in animals are not used to control locomotion in humans.,False,Description A,220,PrincipleNeuralScience,1.0
Imaging studies show increased activity in parts of the midbrain important for initiation and speed control of locomotion.,True,Imaging studies show decreased activity in parts of the midbrain important for initiation and speed control of locomotion.,False,Description A,220,PrincipleNeuralScience,1.0
Recent technological advances now offer unparalleled opportunities to investigate the control mechanisms underlying locomotion.,True,Recent technological advances limit opportunities to investigate the control mechanisms underlying locomotion.,False,Description A,220,PrincipleNeuralScience,1.0
The organization of neural pathways involved in the generation and regulation of locomotion in mammals has been determined in significant detail.,True,The organization of neural pathways involved in the generation and regulation of locomotion in mammals remains poorly understood.,False,Description A,220,PrincipleNeuralScience,1.0
Excitatory rhythm-generating neurons together with commissural inhibitory neurons are responsible for left–right alternation.,True,"Excitatory neurons alone are responsible for left–right alternation, without the involvement of inhibitory neurons.",False,Description A,220,PrincipleNeuralScience,1.0
Circuits controlling speed of locomotion and selecting gaits are localized in the midbrain.,True,Circuits controlling speed of locomotion and selecting gaits are localized in the forebrain.,False,Description A,220,PrincipleNeuralScience,1.0
The motor cortex provides precise control of muscle activity patterns to allow animals to make visually guided anticipatory adjustments of their gait.,True,The motor cortex does not contribute to visually guided anticipatory adjustments of animal gait.,False,Description A,220,PrincipleNeuralScience,1.0
Activity in the pedunculopontine nucleus can affect locomotion in Parkinson disease.,True,Activity in the pedunculopontine nucleus does not affect locomotion in Parkinson disease.,False,Description A,220,PrincipleNeuralScience,1.0
The fragile X mutation leads to the expansion of the CGG triplet on the FMR1 gene to more than 200 repeats.,True,The fragile X mutation leads to the expansion of the CGG triplet on the FMR1 gene to less than 50 repeats.,False,Description A,221,PrincipleNeuralScience,1.0
Approximately 30% of boys with fragile X meet all diagnostic criteria for ASD.,True,Approximately 50% of boys with fragile X meet all diagnostic criteria for ASD.,False,Description A,221,PrincipleNeuralScience,1.0
Rett syndrome is primarily caused by loss-of-function mutations in the MECP2 gene.,True,Rett syndrome is primarily caused by gain-of-function mutations in the MECP2 gene.,False,Description A,221,PrincipleNeuralScience,1.0
Williams syndrome is caused by a segmental deletion of about 27 genes on chromosome 7.,True,Williams syndrome is caused by a duplication of about 27 genes on chromosome 7.,False,Description A,221,PrincipleNeuralScience,1.0
Prader-Willi syndrome results from a deletion on chromosome 15 inherited from the father.,True,Prader-Willi syndrome results from a deletion on chromosome 15 inherited from the mother.,False,Description A,221,PrincipleNeuralScience,1.0
Angelman syndrome is characterized by severe intellectual disability and inappropriate laughter.,True,Angelman syndrome is characterized by mild intellectual disability and inappropriate laughter.,False,Description A,221,PrincipleNeuralScience,1.0
Rett syndrome primarily affects girls due to its inheritance pattern linked to the X chromosome.,True,Rett syndrome primarily affects boys due to its inheritance pattern linked to the X chromosome.,False,Description A,221,PrincipleNeuralScience,1.0
Williams syndrome leads to increased sociability and an affinity for music.,True,Williams syndrome leads to decreased sociability and an aversion to music.,False,Description A,221,PrincipleNeuralScience,1.0
"The prevalence of Rett syndrome is approximately 1 in 10,000 live female births.",True,"The prevalence of Rett syndrome is approximately 1 in 10,000 live male births.",False,Description A,221,PrincipleNeuralScience,1.0
MECP2 duplication syndrome primarily affects males with severe intellectual disability.,True,MECP2 duplication syndrome primarily affects females with mild intellectual disability.,False,Description A,221,PrincipleNeuralScience,1.0
Lack of functional FMRP is responsible for fragile X syndrome.,True,Excess functional FMRP is responsible for fragile X syndrome.,False,Description A,221,PrincipleNeuralScience,1.0
The major challenges in developing treatments for fragile X include identifying clinical endpoints.,True,The major challenges in developing treatments for fragile X include producing excess FMRP.,False,Description A,221,PrincipleNeuralScience,1.0
"The MECP2 gene product binds to methylated cytosine bases in DNA, regulating gene expression.",True,"The MECP2 gene product binds to unmethylated cytosine bases in DNA, regulating gene expression.",False,Description A,221,PrincipleNeuralScience,1.0
"Williams syndrome occurs in 1 in 10,000 live births.",True,"Williams syndrome occurs in 1 in 20,000 live births.",False,Description A,221,PrincipleNeuralScience,1.0
Loss of function of the UBE3A gene on the maternal chromosome leads to Angelman syndrome.,True,Loss of function of the UBE3A gene on the paternal chromosome leads to Angelman syndrome.,False,Description A,221,PrincipleNeuralScience,1.0
The neuromuscular junction abnormalities in myasthenia gravis include reduced numbers of ACh receptors.,True,The neuromuscular junction abnormalities in myasthenia gravis include increased numbers of ACh receptors.,False,Description A,222,PrincipleNeuralScience,1.0
Acetylcholinesterase inhibitors can ameliorate symptoms in myasthenia gravis by prolonging the action of acetylcholine.,True,Acetylcholinesterase inhibitors worsen symptoms in myasthenia gravis by shortening the action of acetylcholine.,False,Description A,222,PrincipleNeuralScience,1.0
"In Lambert-Eaton syndrome, the first postsynaptic potential is abnormally small, but subsequent responses increase in amplitude.",True,"In Lambert-Eaton syndrome, the first postsynaptic potential is abnormally large, but subsequent responses decrease in amplitude.",False,Description A,222,PrincipleNeuralScience,1.0
Duchenne muscular dystrophy affects only males as it is transmitted as an X-linked recessive trait.,True,Duchenne muscular dystrophy affects both males and females equally as it is transmitted as an X-linked recessive trait.,False,Description A,222,PrincipleNeuralScience,1.0
The slow channel syndrome is characterized by prominent limb weakness with little weakness of cranial muscles.,True,The slow channel syndrome is characterized by prominent cranial muscle weakness with little weakness of limb muscles.,False,Description A,222,PrincipleNeuralScience,1.0
Dermatomyositis is defined by two clinical features: rash and myopathy.,True,"Dermatomyositis is defined by three clinical features: rash, myopathy, and neuropathy.",False,Description A,222,PrincipleNeuralScience,1.0
The mutations in the slow channel syndrome increase the affinity of the nicotinic ACh receptor for acetylcholine.,True,The mutations in the slow channel syndrome decrease the affinity of the nicotinic ACh receptor for acetylcholine.,False,Description A,222,PrincipleNeuralScience,1.0
"In congenital myasthenia, the infant has an inherited defect in some component of the neuromuscular junction.",True,"In congenital myasthenia, the infant has an acquired defect in some component of the neuromuscular junction.",False,Description A,222,PrincipleNeuralScience,1.0
"The fast channel syndrome can respond to either acetylcholinesterase inhibitors or 3,4-diaminopyridine.",True,"The fast channel syndrome can respond to neither acetylcholinesterase inhibitors nor 3,4-diaminopyridine.",False,Description A,222,PrincipleNeuralScience,1.0
Becker muscular dystrophy is typically milder than Duchenne because dystrophin is present but may be abnormal.,True,Becker muscular dystrophy is typically more severe than Duchenne because dystrophin is absent entirely.,False,Description A,222,PrincipleNeuralScience,1.0
Plasmapheresis involves filtering the plasma and can be beneficial for myasthenia gravis patients.,True,Plasmapheresis involves adding antibodies to the plasma and can be beneficial for myasthenia gravis patients.,False,Description A,222,PrincipleNeuralScience,1.0
"In congenital myasthenia, end-plate currents are slow to decay, causing prolonged muscle potential response.",True,"In congenital myasthenia, end-plate currents are fast to decay, causing decreased muscle potential response.",False,Description A,222,PrincipleNeuralScience,1.0
Lambert-Eaton syndrome is often associated with small-cell lung cancer.,True,Lambert-Eaton syndrome is rarely associated with small-cell lung cancer.,False,Description A,222,PrincipleNeuralScience,1.0
Dystrophin confers tensile strength to the muscle cell by linking it to the extracellular matrix.,True,Dystrophin confers tensile strength to the muscle cell by preventing it from linking to the extracellular matrix.,False,Description A,222,PrincipleNeuralScience,1.0
"Botulinum toxin impairs the release of acetylcholine from nerve terminals, causing neuromuscular block.",True,"Botulinum toxin increases the release of acetylcholine from nerve terminals, causing neuromuscular block.",False,Description A,222,PrincipleNeuralScience,1.0
Marmoset monkeys exhibit human-like pitch perception and can discriminate a missing fundamental in harmonic sounds with a precision as small as one semitone for periodicity above 440 Hz.,True,Marmoset monkeys exhibit human-like pitch perception and can discriminate a missing fundamental in harmonic sounds with a precision as small as one semitone for periodicity above 200 Hz.,False,Description A,223,PrincipleNeuralScience,1.0
The pitch-selective neurons in marmoset monkeys are located at the low-frequency border between A1 and the rostral auditory cortex (area R).,True,The pitch-selective neurons in marmoset monkeys are located at the high-frequency border between A1 and the rostral auditory cortex (area R).,False,Description A,223,PrincipleNeuralScience,1.0
The perception of the missing fundamental remains robust despite the loss of some harmonic components.,True,The perception of the missing fundamental is highly fragile and becomes distorted with the loss of some harmonic components.,False,Description A,223,PrincipleNeuralScience,1.0
Human imaging studies have identified a region at the lateral end of Heschl’s gyrus that mirrors the pitch center location in marmoset monkeys.,True,Human imaging studies have identified a region at the medial end of Heschl’s gyrus that mirrors the pitch center location in marmoset monkeys.,False,Description A,223,PrincipleNeuralScience,1.0
Pitch-selective neurons in marmosets respond to pitch-evoking sounds like harmonic sounds and click trains.,True,Pitch-selective neurons in marmosets do not respond to pitch-evoking sounds like harmonic sounds and click trains.,False,Description A,223,PrincipleNeuralScience,1.0
"Harmonic template neurons are distributed across A1 and R, covering the entire hearing range of marmosets, from approximately 1 kHz to 32 kHz.",True,"Harmonic template neurons are confined to a narrow region of A1, covering only a range from approximately 1 kHz to 5 kHz.",False,Description A,223,PrincipleNeuralScience,1.0
Xiaoqin Wang and colleagues discovered pitch-selective neurons in marmosets about a decade ago.,True,Xiaoqin Wang and colleagues discovered pitch-selective neurons in marmosets two decades ago.,False,Description A,223,PrincipleNeuralScience,1.0
Pitch-selective neurons increase their firing rates as the behavioral salience of pitch increases.,True,Pitch-selective neurons decrease their firing rates as the behavioral salience of pitch increases.,False,Description A,223,PrincipleNeuralScience,1.0
The core regions of auditory cortex in marmosets also contain a class of harmonic template neurons.,True,"The core regions of auditory cortex in marmosets contain only pitch-selective neurons, not harmonic template neurons.",False,Description A,223,PrincipleNeuralScience,1.0
Pitch carries crucial linguistic information in tonal languages such as Chinese.,True,Pitch is irrelevant to linguistic information in tonal languages such as Chinese.,False,Description A,223,PrincipleNeuralScience,1.0
Pitch allows harmonically structured periodic sounds to be perceived and ordered on a musical scale.,True,Pitch does not allow harmonically structured periodic sounds to be perceived and ordered on a musical scale.,False,Description A,223,PrincipleNeuralScience,1.0
Monkeys are capable of spectral pitch discrimination and melody recognition.,True,Monkeys are incapable of spectral pitch discrimination and melody recognition.,False,Description A,223,PrincipleNeuralScience,1.0
"When listening to an orchestra, we hear the melody of the soloist over the background of accompanying instruments.",True,"When listening to an orchestra, we cannot hear the melody of the soloist over the background of accompanying instruments.",False,Description A,223,PrincipleNeuralScience,1.0
"Birds, cats, and monkeys can also pick out pitch like humans.",True,"Birds, cats, and monkeys cannot pick out pitch like humans.",False,Description A,223,PrincipleNeuralScience,1.0
The slowing of the phase-locking limit along the ascending auditory pathway is necessary for auditory information integration in the cerebral cortex.,True,The slowing of the phase-locking limit along the ascending auditory pathway is irrelevant for auditory information integration in the cerebral cortex.,False,Description A,223,PrincipleNeuralScience,1.0
"Nerve growth factor (NGF) binds to TrkA receptors on primary nociceptive terminals, triggering upregulation in expression of ion channels that increase nociceptor excitability.",True,"Nerve growth factor (NGF) binds to TrkA receptors on primary nociceptive terminals, reducing expression of ion channels that decrease nociceptor excitability.",False,Description A,224,PrincipleNeuralScience,1.0
Retrograde transport of signaling endosomes enhances expression of brain-derived neurotrophic factor (BDNF).,True,Retrograde transport of signaling endosomes suppresses expression of brain-derived neurotrophic factor (BDNF).,False,Description A,224,PrincipleNeuralScience,1.0
Central sensitization decreases pain thresholds (allodynia) and can lead to spontaneous pain in the absence of peripheral stimulation.,True,Central sensitization increases pain thresholds (allodynia) and eliminates spontaneous pain in the absence of peripheral stimulation.,False,Description A,224,PrincipleNeuralScience,1.0
"Peripheral nerve damage decreases GABAergic inhibitory controls, exacerbating hyperactivity of nociceptive pathways in the dorsal horn.",True,"Peripheral nerve damage increases GABAergic inhibitory controls, reducing hyperactivity of nociceptive pathways in the dorsal horn.",False,Description A,224,PrincipleNeuralScience,1.0
"Peripheral nerve injury activates microglia, which release mediators that reduce inhibitory controls exerted by GABAergic interneurons.",True,"Peripheral nerve injury activates microglia, which release mediators that increase inhibitory controls exerted by GABAergic interneurons.",False,Description A,224,PrincipleNeuralScience,1.0
Mechanical allodynia can involve inappropriate engagement of dorsal horn nociceptive pathways by Aβ myelinated afferents.,True,Mechanical allodynia typically involves appropriate engagement of dorsal horn nociceptive pathways by uninjured nociceptors.,False,Description A,224,PrincipleNeuralScience,1.0
NMDA receptor activation in the dorsal horn contributes to central sensitization and increased excitability of dorsal horn neurons.,True,NMDA receptor activation in the dorsal horn reduces central sensitization and decreases excitability of dorsal horn neurons.,False,Description A,224,PrincipleNeuralScience,1.0
"Activation of NK1 receptors by C fibers generates long-lasting cumulative depolarization in dorsal horn neurons, contributing to central sensitization.",True,Activation of NK1 receptors by C fibers generates transient depolarization that inhibits central sensitization.,False,Description A,224,PrincipleNeuralScience,1.0
"Under normal conditions, large-diameter, nonnociceptive Aβ afferent fibers activate GABAergic interneurons in the dorsal horn to inhibit pain transmission circuits.",True,"Under normal conditions, large-diameter, nonnociceptive Aβ afferent fibers deactivate GABAergic interneurons in the dorsal horn, promoting pain transmission circuits.",False,Description A,224,PrincipleNeuralScience,1.0
